15.65 -1
Lombardi et al, Nucl. Phys. A188, 103 (1972) from plot
27 X
89.00 .36 -11.
91.50 .48 -10.
94.00 .62 -10.
96.50 .68 -9.
98.99 .72 -8.
101.48 .94 -10.
106.45 .94 -10.
108.93 .92 -11.
111.41 .85 -11.
116.36 .74 -13.
121.3 .71 -21.
126.23 .38 -32.
131.15 .38 -39.
136.06 .46 -26.
140.97 .34 -44.
145.86 .65 -20.
150.75 .66 -15.
155.63 .53 -19.
160.51 .29 -34.
165.39 .10 -120.
170.26 .23 -65.
45.0 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________
47 X
10.24 4556. -2.6 
12.80 2963  -2.5
15.36 2180  -2.9
17.92 1347  -2.5
20.48 852.0   -2.4
23.04 397.4   -2.5
25.60 200.3  -2.5
28.15 75.29  -2.8
30.70 52.44 -2.6
33.26 61.67  -2.7
35.81 77.79 -2.4
38.36 84.51 -2.4
40.90 89.48 -2.4
43.45 78.80 -2.5
46.00 63.27 -2.3
48.54 42.16  -2.5
51.08 30.23  -2.4
53.62 17.39  -2.7
56.15 12.13 -2.5
58.69 8.029 -2.6
61.22 7.808 -2.4
63.75 7.552 -2.5
66.28 7.232 -2.5
68.80 7.088 -2.5
71.32 6.156 -2.5
73.84 4.864 -2.7
76.36 4.010 -2.5
78.87 2.889 -3.0
81.39 2.305 -2.6
86.40 1.117 -3.2
91.41 0.976 -2.4
96.40 .872 -2.4 
101.39 .749 -2.6
106.36 .514 -2.8
111.32 .298 -3.8
116.27 .186 -3.1
121.22 .143 -2.9
126.15 .146 -2.7
131.08 .148 -2.6
135.99 .121 -3.1
140.90 .098 -3.0
145.81 .074 -4.3
150.70 .073 -4.0
155.59 .075 -4.1
160.48 .073  -4.2
165.36 .059 -3.7
170.24 .035 -5.9
0 A
48.0 1
McCamis et al, Phys Rev C 33 1624 (1986) _______________________
47 X
10.3 5492.0 -2.0
14.9 2236.0 -2.1
16.0 2166.0 -2.4
17.4 1423.0 -2.3
20.0 806.1 -2.6
21.1 700.1 -3.0
22.6 418.8 -2.7
25.1 174.3 -2.8
25.6 154.4 -3.2
26.2 131.0 -3.4
27.7 70.42 -2.9
30.2 44.48 -1.9
30.8 40.58 -1.8
32.8 55.42 -2.0
