9.9 16
162 0.854725 -0.225987
163 0.913839 -0.138039
164 0.957544 -0.0574767
165 0.98489 0.013945
166 0.995618 0.0749996
167 0.990071 0.124986
168 0.96907 0.163681
169 0.933779 0.191273
170 0.885584 0.208269
171 0.825977 0.215414
172 0.756468 0.213615
173 0.678527 0.203872
174 0.593538 0.187228
175 0.502781 0.164738
176 0.407425 0.137441
177 0.308533 0.106349
178 0.207075 0.0724451
179 0.103948 0.0366841
