NEnergy= 43.8456   Entries 12
2    0.0568129   0.0678564   
3    0.0819653   0.109989    
4    0.112084    0.115464    
5    0.173684    0.0429785   
6    0.00941609  0.0921659   
7    0.0165183   0.00264191  
8    0.00118505  0.00399999  
9    0.00163875  0           
10   0           0           
11   0           0           
NEnergy= 35.9456   Entries 12
0    0.0126281   0.0196488   
1    0.0464625   0.0328177   
2    0.0569453   0.0678122   
3    0.0819677   0.110181    
4    0.111835    0.11583     
5    0.174167    0.0427234   
6    0.00935352  0.0918517   
7    0.0164069   0.00262578  
8    0.00116311  0.00397337  
9    0.00160712  0           
10   0           0           
11   0           0           
NEnergy= 35.8456   Entries 12
0    0.0126286   0.0196211   
1    0.0464652   0.0327948   
2    0.0570845   0.0677658   
3    0.0819796   0.110376    
